Date,Coinbase,Exmo,Binance,return coinbase,return exmo,return binance
2019/4/26,5279.35,5345.3,5306.17,1.312332523,1.323899076,1.639204978
2019/4/25,5210.52,5275,5219.9,-4.766067476,-3.757882644,-3.669463583
2019/4/24,5464.87,5477,5415,-1.947832898,-1.529057122,-1.435810778
2019/4/23,5572.36,5561.39,5493.31,3.153638249,2.514359076,2.510073764
2019/4/22,5399.37,5423.3,5357.14,1.583770119,1.596396968,1.903333353
2019/4/21,5314.53,5337.41,5256.14,-0.438586489,-0.17315503,-0.674830749
2019/4/20,5337.89,5346.66,5291.73,0.640501358,0.62438993,0.626517986
2019/4/19,5303.81,5313.38,5258.68,0.10224294,0.331411402,0.004563987
2019/4/18,5298.39,5295.8,5258.44,0.880546867,0.661383961,1.063361853
2019/4/17,5251.94,5260.89,5202.82,0.312372125,0.813045194,0.560882072
2019/4/16,5235.56,5218.29,5173.72,3.270317555,2.657310809,2.917646192
2019/4/15,5067.11,5081.45,5024.95,-1.966095009,-2.186317646,-2.094353474
2019/4/14,5167.72,5193.77,5131.3,1.38598968,0.940141987,1.6917778
2019/4/13,5096.59,5145.17,5045.22,0.138423545,0.107731809,-0.055284583
2019/4/12,5089.54,5139.63,5048.01,0.493401158,0.799352588,0.608821418
2019/4/11,5064.49,5098.71,5017.37,-5.007475937,-4.498261699,-5.635632204
2019/4/10,5324.55,5333.3,5308.25,2.271618386,1.874279499,3.02654994
2019/4/9,5204.96,5234.27,5150,-1.616274955,-1.204915076,-1.673300554
2019/4/8,5289.77,5297.72,5236.9,1.732770192,2.4175637,1.280480869
2019/4/7,5198.9,5171.18,5170.27,2.71161552,2.074676462,2.474730175
2019/4/6,5059.82,5065,5043.89,0.458377468,0.92210608,0.775018707
2019/4/5,5036.68,5018.51,5004.95,2.286966055,2.798785703,2.146572438
2019/4/4,4922.8,4880,4898.66,-1.014982713,-1.51873646,-0.690453407
2019/4/3,4973.02,4954.68,4932.6,1.890667204,2.93216203,1.538556318
2019/4/2,4879.88,4811.51,4857.29,16.00431509,14.35362727,15.86840383
2019/4/1,4158.18,4168.16,4144.56,1.277429824,0.784468873,0.98467064
2019/3/31,4105.4,4135.59,4103.95,-0.030686576,-0.34759219,-0.073560579
2019/3/30,4106.66,4149.99,4106.97,0.202071237,-0.144714864,0.090618772
2019/3/29,4098.37,4156,4103.25,0.716503136,2.06103644,1.85565387
2019/3/28,4069.11,4071.22,4027.81,-0.440402959,-0.439197016,-0.253909825
2019/3/27,4087.07,4089.14,4038.05,2.527094459,2.101084796,2.241347927
2019/3/26,3985.08,4004.12,3948.55,0.553840988,0.173972208,0.315295638
2019/3/25,3963.07,3997.16,3936.12,-1.480258055,-1.391024763,-1.414198108
2019/3/24,4022.17,4053.15,3992.18,-0.339042271,-0.29685857,-0.345828588
2019/3/23,4035.83,4065.2,4006.01,0.294300319,0.128243173,0.477422231
2019/3/22,4023.97,4059.99,3986.93,-0.133113153,-0.147920465,0.15789008
2019/3/21,4029.33,4066,3980.64,-1.432853421,-1.319344816,-1.555180047
2019/3/20,4087.48,4120,4043.03,0.399330323,0.65871819,1.097508756
2019/3/19,4071.19,4092.95,3998.9,0.954632915,0.607025646,0.277711526
2019/3/18,4032.51,4068.18,3987.81,0.180695877,0.15178,0.167399759
2019/3/17,4025.23,4062.01,3981.14,-0.58211996,-0.31928217,-0.622003428
2019/3/16,4048.73,4075,4005.98,2.192945485,2.233343445,2.073786697
2019/3/15,3960.91,3985,3923.76,0.926796805,0.730389848,1.195776778
2019/3/14,3924.37,3956,3877.12,0.450768153,-0.069237906,0.287222919
2019/3/13,3906.72,3958.74,3866,-0.062436989,-0.063383921,-0.431813368
2019/3/12,3909.16,3961.25,3882.73,0.100583675,0.335051045,0.286807327
2019/3/11,3905.23,3948,3871.61,-1.180387978,-0.93633218,-1.160965889
2019/3/10,3951.6,3985.14,3916.82,-0.295897453,-0.293660948,-0.667189931
2019/3/9,3963.31,3996.86,3943.04,1.581327996,1.342771998,2.001877831
2019/3/8,3901.13,3943.55,3864.89,-0.264956424,-0.107966191,-0.226141237
2019/3/7,3911.48,3947.81,3873.64,0.192951942,0.687038118,0.305087962
2019/3/6,3903.94,3920.78,3861.84,0.193838262,-0.313730541,0.106482625
2019/3/5,3896.38,3933.1,3857.73,3.521415198,2.537061564,3.761949898
2019/3/4,3761.56,3834.57,3715.3,-2.250664741,-2.18455571,-2.45790349
2019/3/3,3847.18,3919.26,3807.75,-0.447119371,-0.2583882,-0.319363433
2019/3/2,3864.42,3929.4,3819.93,0.125323683,-0.164266698,-0.080335687
2019/3/1,3859.58,3935.86,3823,0.124183844,0.576117867,0.243823034
2019/2/28,3854.79,3913.25,3813.69,0.097069243,-0.057991231,-0.114783496
2019/2/27,3851.05,3915.52,3818.07,-0.085913669,0.117294572,0.231799037
2019/2/26,3854.36,3910.93,3809.23,-0.732581284,-0.579763498,-0.489450575
2019/2/25,3882.7,3933.67,3827.92,1.878874425,1.373767873,2.228454439
2019/2/24,3810.43,3880,3743.56,-8.356466863,-6.980010572,-9.527229585
2019/2/23,4142.53,4160.5,4117.76,3.363080595,2.815370885,3.856037791
2019/2/22,4005.53,4045,3962,1.291783305,1.568227718,0.625119926
2019/2/21,3954.12,3982.06,3937.31,-1.149128681,-1.134656274,-0.820285235
2019/2/20,3999.82,4027.5,3969.74,1.327076156,1.47324484,1.572860456
2019/2/19,3947.09,3968.6,3907.79,0.798193178,0.985030058,0.235448248
2019/2/18,3915.71,3929.7,3898.6,6.375923019,4.601556057,6.108547031
2019/2/17,3673.84,3752.97,3667.58,1.206264122,1.001004534,1.349734119
2019/2/16,3629.79,3715.59,3618.41,0.247703765,1.096802211,0.441498152
2019/2/15,3620.81,3675.06,3602.47,0.108598196,0.19119996,0.331154211
2019/2/14,3616.88,3668.04,3590.56,-0.419095793,-0.55434338,-0.523337435
2019/2/13,3632.07,3688.43,3609.4,-0.589108984,-0.042556479,-0.609321773
2019/2/12,3653.53,3690,3631.46,0.139688545,0.382301658,0.011290862
2019/2/11,3648.43,3675.92,3631.05,-1.138100917,-1.559625762,-1.340719375
2019/2/10,3690.19,3733.7,3680.06,0.515936314,0.651877727,0.405160903
2019/2/9,3671.2,3709.44,3665.18,0.120469135,0.388142309,0.167662944
2019/2/8,3666.78,3695.07,3659.04,7.569435563,6.383386627,7.38960853
2019/2/7,3399.47,3466.57,3398.4,-0.419771533,-0.164580623,-0.20488648
2019/2/6,3413.77,3472.28,3405.37,-1.528779958,-1.714627115,-1.925910484
2019/2/5,3466.36,3532.33,3471.59,0.208215788,0.676341373,0.241391013
2019/2/4,3459.15,3508.52,3463.22,-0.140398338,0.126058466,0.147659508
2019/2/3,3464.01,3504.1,3458.11,-1.633520311,-1.360526641,-1.340270074
2019/2/2,3521.06,3552.1,3504.77,0.944790956,0.30168487,1.225822172
2019/2/1,3487.95,3541.4,3462.07,0.868451441,1.154204141,0.811179347
2019/1/31,3457.79,3500.76,3434.1,-0.81769242,-0.71839962,-0.698755651
2019/1/30,3486.18,3526,3458.18,1.09774259,0.683841668,1.372520898
2019/1/29,3448.12,3501.97,3411.04,-0.645511357,-1.023592844,-0.675221223
2019/1/28,3470.45,3538,3434.15,-3.218685599,-2.925141225,-3.341475286
2019/1/27,3583.97,3643.02,3550.84,-0.514582089,-0.846253513,-0.404998242
2019/1/26,3602.46,3673.98,3565.25,0.07469909,0.081143861,-0.001121935
2019/1/25,3599.77,3671,3565.29,-0.03055284,-0.248125583,-0.121375057
2019/1/24,3600.87,3680.12,3569.62,0.438353664,0.078288955,0.471749321
2019/1/23,3585.12,3677.24,3552.82,-0.54133128,-0.630547487,-0.508441173
2019/1/22,3604.58,3700.5,3570.93,0.795201256,1.100479824,1.240676792
2019/1/21,3576.03,3660,3526.9,-0.696111513,-0.544960477,-0.350401848
2019/1/20,3601.01,3680,3539.28,-3.481042046,-2.977511485,-3.498687075
2019/1/19,3728.57,3791.22,3665.3,1.915197287,1.57650205,1.940235819
2019/1/18,3657.84,3731.92,3594.87,-0.564856199,-0.688422158,-0.591868688
2019/1/17,3678.56,3757.7,3616.21,0.642254208,0.913223942,0.676191005
2019/1/16,3655.01,3723.54,3591.84,0.667887062,0.364834292,1.085540198
2019/1/15,3630.68,3709.98,3553.06,-2.054666085,-2.202531395,-2.034572873
2019/1/14,3706.05,3792.6,3626.09,4.218837508,4.381915145,4.203972604
2019/1/13,3552.95,3630,3476.81,-3.004003128,-3.145595575,-3.012151339
2019/1/12,3661.3,3746,3583.13,-0.70951912,-0.505925723,-0.506094805
2019/1/11,3687.37,3765,3601.31,0.229423596,-0.052841282,0.429375701
2019/1/10,3678.92,3766.99,3585.88,-9.246141755,-8.087408093,-10.09179986
2019/1/9,4035.3,4084.3,3966.65,0.110337657,-0.224266612,0.29084393
2019/1/8,4030.85,4093.47,3955.13,0.139025109,0.199785609,-0.512447878
2019/1/7,4025.25,4085.3,3975.45,-1.268364597,-1.489355632,-0.305159692
2019/1/6,4076.63,4146.6,3987.6,5.844765015,5.869508294,5.585993521
2019/1/5,3845.19,3910.22,3770.96,-0.325331882,-0.758708491,-0.556661057
2019/1/4,3857.72,3940,3792.01,0.545328769,1.042470731,0.667569643
2019/1/3,3836.74,3899.14,3766.78,-2.742278353,-2.903223438,-2.407353179
2019/1/2,3943.41,4014,3858.56,2.565721785,1.765366741,1.604590509
2019/1/1,3843.52,3943.76,3797.14,2.658133729,3.341412596,2.513185535
2018/12/31,3742.7,3814.16,3702.9,-3.240017134,-3.626014421,-2.63872756
