Date,Coinbase,Exmo,Binance,ln(coinbase),ln(exmo),ln(binance),return coinbase,return exmo,return binance,,ln(coinbase),e,return coinbase,h,ln(exmo),f,return exmo,i,ln(binance),g,return binance,j
2019/4/26,5279.35,5345.3,5306.17,8.571558263,8.583972949,8.576625573,1.312332523,1.323899076,1.639204978,,N,617,N,616,N,617,N,616,N,617,N,616
2019/4/25,5210.52,5275,5219.9,8.558434938,8.570733958,8.560233524,-4.766067476,-3.757882644,-3.669463583,,MEAN,8.760298063,MEAN,0.038658909,MEAN,8.770001011,MEAN,0.042539859,MEAN,8.75409939,MEAN,0.041533107
2019/4/24,5464.87,5477,5415,8.606095613,8.608312785,8.596928159,-1.947832898,-1.529057122,-1.435810778,,SD,0.410557394,SD,4.438697236,SD,0.412538175,SD,3.992398649,SD,0.40773447,SD,4.497534038
2019/4/23,5572.36,5561.39,5493.31,8.625573942,8.623603356,8.611286267,3.153638249,2.514359076,2.510073764,,MAX,9.878036402,MAX,22.5118998,MAX,9.867860375,MAX,19.02351397,MAX,9.857582871,MAX,20.29522152
2019/4/22,5399.37,5423.3,5357.14,8.594037559,8.598459765,8.58618553,1.583770119,1.596396968,1.903333353,,MIN,8.056727927,MIN,-20.75298087,MIN,8.099378136,MIN,-18.02786169,MIN,8.067468939,MIN,-21.68803084
2019/4/21,5314.53,5337.41,5256.14,8.578199858,8.582495796,8.567152196,-0.438586489,-0.17315503,-0.674830749,,KURT,-0.367273956,KURT,3.599692081,KURT,-0.367715737,KURT,4.097022096,KURT,-0.434020026,KURT,3.436645182
2019/4/20,5337.89,5346.66,5291.73,8.582585723,8.584227346,8.573900504,0.640501358,0.62438993,0.626517986,,SKEW,0.39193826,SKEW,-0.041293042,SKEW,0.438076558,SKEW,-0.037527799,SKEW,0.34505618,SKEW,-0.256299739
2019/4/19,5303.81,5313.38,5258.68,8.576180709,8.577983447,8.567635324,0.10224294,0.331411402,0.004563987,,,,,,,,,,,,,
2019/4/18,5298.39,5295.8,5258.44,8.57515828,8.574669333,8.567589684,0.880546867,0.661383961,1.063361853,,,,,,,,,,,,,
2019/4/17,5251.94,5260.89,5202.82,8.566352811,8.568055493,8.556956065,0.312372125,0.813045194,0.560882072,,,,,,,,,,,,,
2019/4/16,5235.56,5218.29,5173.72,8.56322909,8.559925041,8.551347245,3.270317555,2.657310809,2.917646192,,,,,,,,,,,,,
2019/4/15,5067.11,5081.45,5024.95,8.530525914,8.533351933,8.522170783,-1.966095009,-2.186317646,-2.094353474,,,,,,,,,,,,,
2019/4/14,5167.72,5193.77,5131.3,8.550186864,8.555215109,8.543114317,1.38598968,0.940141987,1.6917778,,,,,,,,,,,,,
2019/4/13,5096.59,5145.17,5045.22,8.536326968,8.54581369,8.526196539,0.138423545,0.107731809,-0.055284583,,,,,,,,,,,,,
2019/4/12,5089.54,5139.63,5048.01,8.534942732,8.544736371,8.526749385,0.493401158,0.799352588,0.608821418,,,,,,,,,,,,,
2019/4/11,5064.49,5098.71,5017.37,8.530008721,8.536742846,8.520661171,-5.007475937,-4.498261699,-5.635632204,,,,,,,,,,,,,
2019/4/10,5324.55,5333.3,5308.25,8.58008348,8.581725463,8.577017493,2.271618386,1.874279499,3.02654994,,,,,,,,,,,,,
2019/4/9,5204.96,5234.27,5150,8.557367296,8.562982668,8.546751994,-1.616274955,-1.204915076,-1.673300554,,,,,,,,,,,,,
2019/4/8,5289.77,5297.72,5236.9,8.573530046,8.575031818,8.563484999,1.732770192,2.4175637,1.280480869,,,,,,,,,,,,,
2019/4/7,5198.9,5171.18,5170.27,8.556202344,8.550856181,8.550680191,2.71161552,2.074676462,2.474730175,,,,,,,,,,,,,
2019/4/6,5059.82,5065,5043.89,8.529086189,8.530109417,8.525932889,0.458377468,0.92210608,0.775018707,,,,,,,,,,,,,
2019/4/5,5036.68,5018.51,5004.95,8.524502414,8.520888356,8.518182702,2.286966055,2.798785703,2.146572438,,,,,,,,,,,,,
2019/4/4,4922.8,4880,4898.66,8.501632753,8.492900499,8.496716977,-1.014982713,-1.51873646,-0.690453407,,,,,,,,,,,,,
2019/4/3,4973.02,4954.68,4932.6,8.51178258,8.508087863,8.503621511,1.890667204,2.93216203,1.538556318,,,,,,,,,,,,,
2019/4/2,4879.88,4811.51,4857.29,8.492875908,8.478766243,8.488235948,16.00431509,14.35362727,15.86840383,,,,,,,,,,,,,
2019/4/1,4158.18,4168.16,4144.56,8.332832758,8.33522997,8.32955191,1.277429824,0.784468873,0.98467064,,,,,,,,,,,,,
2019/3/31,4105.4,4135.59,4103.95,8.320058459,8.327385282,8.319705204,-0.030686576,-0.34759219,-0.073560579,,,,,,,,,,,,,
2019/3/30,4106.66,4149.99,4106.97,8.320365325,8.330861204,8.320440809,0.202071237,-0.144714864,0.090618772,,,,,,,,,,,,,
